Location,AgeGrp,PopMale,PopFemale,PopTotal
Afghanistan,0-19,10709.0,10197.0,20906.0
Afghanistan,20-39,5994.0,5574.0,11568.0
Afghanistan,40-59,2485.0,2316.0,4801.0
Afghanistan,60+,781.0,858.0,1639.0
Africa,0-19,344109.0,334982.0,679091.0
Africa,20-39,197448.0,197144.0,394592.0
Africa,40-59,94547.0,98460.0,193007.0
Africa,60+,33767.0,40123.0,73890.0
Albania,0-19,365.0,326.0,691.0
Albania,20-39,458.0,402.0,860.0
Albania,40-59,341.0,364.0,705.0
Albania,60+,290.0,312.0,602.0
Algeria,0-19,8373.0,8033.0,16406.0
Algeria,20-39,7002.0,6843.0,13845.0
Algeria,40-59,4618.0,4627.0,9245.0
Algeria,60+,2151.0,2185.0,4336.0
Andean Community,0-19,18849.0,18317.0,37166.0
Andean Community,20-39,18308.0,18260.0,36568.0
Andean Community,40-59,12428.0,13024.0,25452.0
Andean Community,60+,6450.0,7513.0,13963.0
Angola,0-19,9408.0,9368.0,18776.0
Angola,20-39,4423.0,4580.0,9003.0
Angola,40-59,1873.0,1999.0,3872.0
Angola,60+,548.0,647.0,1195.0
Antigua and Barbuda,0-19,12.0,12.0,24.0
Antigua and Barbuda,20-39,12.0,12.0,24.0
Antigua and Barbuda,40-59,11.0,12.0,23.0
Antigua and Barbuda,60+,4.0,4.0,8.0
Argentina,0-19,7422.0,7158.0,14580.0
Argentina,20-39,6745.0,6691.0,13436.0
Argentina,40-59,4902.0,5247.0,10149.0
Argentina,60+,2971.0,4042.0,7013.0
Armenia,0-19,416.0,368.0,784.0
Armenia,20-39,437.0,472.0,909.0
Armenia,40-59,314.0,398.0,712.0
Armenia,60+,216.0,322.0,538.0
Aruba,0-19,11.0,10.0,21.0
Aruba,20-39,10.0,11.0,21.0
Aruba,40-59,13.0,15.0,28.0
Aruba,60+,7.0,11.0,18.0
Australia,0-19,3300.0,3136.0,6436.0
Australia,20-39,3580.0,3510.0,7090.0
Australia,40-59,3176.0,3234.0,6410.0
Australia,60+,2631.0,2912.0,5543.0
Australia/New Zealand,0-19,3936.0,3741.0,7677.0
Australia/New Zealand,20-39,4228.0,4152.0,8380.0
Australia/New Zealand,40-59,3760.0,3870.0,7630.0
Australia/New Zealand,60+,3135.0,3479.0,6614.0
Austria,0-19,900.0,846.0,1746.0
Austria,20-39,1204.0,1151.0,2355.0
Austria,40-59,1292.0,1290.0,2582.0
Austria,60+,1033.0,1270.0,2303.0
Azerbaijan,0-19,1610.0,1407.0,3017.0
Azerbaijan,20-39,1704.0,1668.0,3372.0
Azerbaijan,40-59,1227.0,1331.0,2558.0
Azerbaijan,60+,514.0,659.0,1173.0
Bahamas,0-19,57.0,56.0,113.0
Bahamas,20-39,58.0,60.0,118.0
Bahamas,40-59,49.0,54.0,103.0
Bahamas,60+,18.0,23.0,41.0
Bahrain,0-19,206.0,190.0,396.0
Bahrain,20-39,578.0,233.0,811.0
Bahrain,40-59,259.0,134.0,393.0
Bahrain,60+,49.0,34.0,83.0
Bangladesh,0-19,30478.0,29164.0,59642.0
Bangladesh,20-39,28048.0,28225.0,56273.0
Bangladesh,40-59,18014.0,17639.0,35653.0
Bangladesh,60+,6708.0,6390.0,13098.0
Barbados,0-19,31.0,31.0,62.0
Barbados,20-39,36.0,36.0,72.0
Barbados,40-59,36.0,39.0,75.0
Barbados,60+,25.0,34.0,59.0
Belarus,0-19,1058.0,1009.0,2067.0
Belarus,20-39,1327.0,1276.0,2603.0
Belarus,40-59,1239.0,1388.0,2627.0
Belarus,60+,762.0,1366.0,2128.0
Belgium,0-19,1345.0,1266.0,2611.0
Belgium,20-39,1462.0,1424.0,2886.0
Belgium,40-59,1584.0,1530.0,3114.0
Belgium,60+,1345.0,1615.0,2960.0
Belize,0-19,77.0,75.0,152.0
Belize,20-39,65.0,67.0,132.0
Belize,40-59,36.0,36.0,72.0
Belize,60+,12.0,12.0,24.0
Benin,0-19,3231.0,3141.0,6372.0
Benin,20-39,1750.0,1743.0,3493.0
Benin,40-59,794.0,836.0,1630.0
Benin,60+,270.0,339.0,609.0
Bhutan,0-19,131.0,127.0,258.0
Bhutan,20-39,157.0,131.0,288.0
Bhutan,40-59,78.0,66.0,144.0
Bhutan,60+,35.0,29.0,64.0
Bolivia (Plurinational State of),0-19,2378.0,2280.0,4658.0
Bolivia (Plurinational State of),20-39,1856.0,1820.0,3676.0
Bolivia (Plurinational State of),40-59,1051.0,1068.0,2119.0
Bolivia (Plurinational State of),60+,563.0,639.0,1202.0
Bosnia and Herzegovina,0-19,327.0,310.0,637.0
Bosnia and Herzegovina,20-39,439.0,418.0,857.0
Bosnia and Herzegovina,40-59,468.0,477.0,945.0
Bosnia and Herzegovina,60+,362.0,459.0,821.0
Botswana,0-19,510.0,498.0,1008.0
Botswana,20-39,372.0,391.0,763.0
Botswana,40-59,186.0,218.0,404.0
Botswana,60+,62.0,96.0,158.0
Brazil,0-19,30744.0,29489.0,60233.0
Brazil,20-39,34383.0,34195.0,68578.0
Brazil,40-59,26103.0,27775.0,53878.0
Brazil,60+,13195.0,16653.0,29848.0
Brunei Darussalam,0-19,66.0,62.0,128.0
Brunei Darussalam,20-39,76.0,66.0,142.0
Brunei Darussalam,40-59,59.0,54.0,113.0
Brunei Darussalam,60+,16.0,18.0,34.0
Bulgaria,0-19,685.0,646.0,1331.0
Bulgaria,20-39,850.0,792.0,1642.0
Bulgaria,40-59,1015.0,988.0,2003.0
Bulgaria,60+,812.0,1137.0,1949.0
Burkina Faso,0-19,5893.0,5683.0,11576.0
Burkina Faso,20-39,2988.0,2944.0,5932.0
Burkina Faso,40-59,1222.0,1338.0,2560.0
Burkina Faso,60+,331.0,483.0,814.0
Burundi,0-19,3317.0,3276.0,6593.0
Burundi,20-39,1767.0,1797.0,3564.0
Burundi,40-59,588.0,648.0,1236.0
Burundi,60+,218.0,261.0,479.0
Cabo Verde,0-19,101.0,100.0,201.0
Cabo Verde,20-39,100.0,92.0,192.0
Cabo Verde,40-59,55.0,53.0,108.0
Cabo Verde,60+,13.0,22.0,35.0
Cambodia,0-19,3371.0,3256.0,6627.0
Cambodia,20-39,2980.0,3023.0,6003.0
Cambodia,40-59,1312.0,1502.0,2814.0
Cambodia,60+,491.0,765.0,1256.0
Cameroon,0-19,7066.0,6952.0,14018.0
Cameroon,20-39,3980.0,3968.0,7948.0
Cameroon,40-59,1702.0,1724.0,3426.0
Cameroon,60+,518.0,615.0,1133.0
Canada,0-19,4062.0,3877.0,7939.0
Canada,20-39,5233.0,5138.0,10371.0
Canada,40-59,5008.0,5017.0,10025.0
Canada,60+,4418.0,4970.0,9388.0
Caribbean,0-19,7077.0,6796.0,13873.0
Caribbean,20-39,6446.0,6410.0,12856.0
Caribbean,40-59,5003.0,5314.0,10317.0
Caribbean,60+,2959.0,3510.0,6469.0
Central African Republic,0-19,1355.0,1342.0,2697.0
Central African Republic,20-39,668.0,669.0,1337.0
Central African Republic,40-59,276.0,294.0,570.0
Central African Republic,60+,86.0,122.0,208.0
Chad,0-19,4762.0,4724.0,9486.0
Chad,20-39,2277.0,2269.0,4546.0
Chad,40-59,857.0,876.0,1733.0
Chad,60+,292.0,346.0,638.0
Channel Islands,0-19,16.0,16.0,32.0
Channel Islands,20-39,21.0,20.0,41.0
Channel Islands,40-59,23.0,23.0,46.0
Channel Islands,60+,15.0,19.0,34.0
Chile,0-19,2501.0,2416.0,4917.0
Chile,20-39,3012.0,2925.0,5937.0
Chile,40-59,2429.0,2499.0,4928.0
Chile,60+,1474.0,1838.0,3312.0
China,0-19,180228.0,157041.0,337269.0
China,20-39,215583.0,198390.0,413973.0
China,40-59,222768.0,215527.0,438295.0
China,60+,119660.0,130106.0,249766.0
Colombia,0-19,7935.0,7593.0,15528.0
Colombia,20-39,8363.0,8291.0,16654.0
Colombia,40-59,5679.0,6312.0,11991.0
Colombia,60+,2998.0,3691.0,6689.0
Comoros,0-19,216.0,209.0,425.0
Comoros,20-39,135.0,131.0,266.0
Comoros,40-59,62.0,63.0,125.0
Comoros,60+,17.0,21.0,38.0
Congo,0-19,1434.0,1412.0,2846.0
Congo,20-39,776.0,774.0,1550.0
Congo,40-59,427.0,433.0,860.0
Congo,60+,109.0,136.0,245.0
Costa Rica,0-19,726.0,693.0,1419.0
Costa Rica,20-39,835.0,812.0,1647.0
Costa Rica,40-59,617.0,633.0,1250.0
Costa Rica,60+,355.0,401.0,756.0
Croatia,0-19,407.0,383.0,790.0
Croatia,20-39,514.0,494.0,1008.0
Croatia,40-59,563.0,570.0,1133.0
Croatia,60+,485.0,669.0,1154.0
Cuba,0-19,1255.0,1187.0,2442.0
Cuba,20-39,1506.0,1435.0,2941.0
Cuba,40-59,1744.0,1780.0,3524.0
Cuba,60+,1108.0,1289.0,2397.0
Curaçao,0-19,19.0,19.0,38.0
Curaçao,20-39,16.0,19.0,35.0
Curaçao,40-59,17.0,24.0,41.0
Curaçao,60+,14.0,21.0,35.0
Cyprus,0-19,139.0,130.0,269.0
Cyprus,20-39,194.0,181.0,375.0
Cyprus,40-59,153.0,157.0,310.0
Cyprus,60+,107.0,124.0,231.0
Czechia,0-19,1115.0,1056.0,2171.0
Czechia,20-39,1323.0,1258.0,2581.0
Czechia,40-59,1603.0,1544.0,3147.0
Czechia,60+,1223.0,1570.0,2793.0
Côte d'Ivoire,0-19,6954.0,6897.0,13851.0
Côte d'Ivoire,20-39,3903.0,3927.0,7830.0
Côte d'Ivoire,40-59,1784.0,1665.0,3449.0
Côte d'Ivoire,60+,650.0,579.0,1229.0
Dem. People's Republic of Korea,0-19,3571.0,3416.0,6987.0
Dem. People's Republic of Korea,20-39,3848.0,3716.0,7564.0
Dem. People's Republic of Korea,40-59,3648.0,3685.0,7333.0
Dem. People's Republic of Korea,60+,1530.0,2344.0,3874.0
Democratic Republic of the Congo,0-19,25444.0,25038.0,50482.0
Democratic Republic of the Congo,20-39,11939.0,11989.0,23928.0
Democratic Republic of the Congo,40-59,5383.0,5566.0,10949.0
Democratic Republic of the Congo,60+,1933.0,2248.0,4181.0
Denmark,0-19,655.0,623.0,1278.0
Denmark,20-39,735.0,709.0,1444.0
Denmark,40-59,773.0,770.0,1543.0
Denmark,60+,706.0,800.0,1506.0
Denmark (and dependencies),0-19,670.0,637.0,1307.0
Denmark (and dependencies),20-39,750.0,723.0,1473.0
Denmark (and dependencies),40-59,789.0,784.0,1573.0
Denmark (and dependencies),60+,716.0,810.0,1526.0
Djibouti,0-19,196.0,175.0,371.0
Djibouti,20-39,177.0,159.0,336.0
Djibouti,40-59,103.0,92.0,195.0
Djibouti,60+,31.0,34.0,65.0
Dominican Republic,0-19,2005.0,1927.0,3932.0
Dominican Republic,20-39,1716.0,1699.0,3415.0
Dominican Republic,40-59,1122.0,1163.0,2285.0
Dominican Republic,60+,565.0,630.0,1195.0
East African Community (EAC),0-19,52641.0,51764.0,104405.0
East African Community (EAC),20-39,28654.0,29279.0,57933.0
East African Community (EAC),40-59,12197.0,12772.0,24969.0
East African Community (EAC),60+,3486.0,4472.0,7958.0
Ecuador,0-19,3263.0,3126.0,6389.0
Ecuador,20-39,2834.0,2791.0,5625.0
Ecuador,40-59,1809.0,1867.0,3676.0
Ecuador,60+,907.0,1027.0,1934.0
Egypt,0-19,22342.0,21067.0,43409.0
Egypt,20-39,16093.0,15614.0,31707.0
Egypt,40-59,9359.0,9431.0,18790.0
Egypt,60+,3898.0,4509.0,8407.0
El Salvador,0-19,1175.0,1133.0,2308.0
El Salvador,20-39,977.0,1117.0,2094.0
El Salvador,40-59,552.0,737.0,1289.0
El Salvador,60+,321.0,452.0,773.0
Equatorial Guinea,0-19,321.0,311.0,632.0
Equatorial Guinea,20-39,328.0,204.0,532.0
Equatorial Guinea,40-59,100.0,73.0,173.0
Equatorial Guinea,60+,23.0,24.0,47.0
Eritrea,0-19,933.0,896.0,1829.0
Eritrea,20-39,517.0,512.0,1029.0
Eritrea,40-59,218.0,231.0,449.0
Eritrea,60+,98.0,121.0,219.0
Estonia,0-19,142.0,135.0,277.0
Estonia,20-39,175.0,160.0,335.0
Estonia,40-59,173.0,173.0,346.0
Estonia,60+,129.0,220.0,349.0
Eswatini,0-19,282.0,277.0,559.0
Eswatini,20-39,181.0,190.0,371.0
Eswatini,40-59,75.0,76.0,151.0
Eswatini,60+,24.0,36.0,60.0
Ethiopia,0-19,29782.0,29082.0,58864.0
Ethiopia,20-39,17671.0,17557.0,35228.0
Ethiopia,40-59,7242.0,7497.0,14739.0
Ethiopia,60+,2812.0,3300.0,6112.0
Fiji,0-19,169.0,161.0,330.0
Fiji,20-39,139.0,134.0,273.0
Fiji,40-59,99.0,95.0,194.0
Fiji,60+,36.0,43.0,79.0
Finland,0-19,599.0,571.0,1170.0
Finland,20-39,705.0,669.0,1374.0
Finland,40-59,695.0,680.0,1375.0
Finland,60+,722.0,877.0,1599.0
France,0-19,7874.0,7531.0,15405.0
France,20-39,7616.0,7762.0,15378.0
France,40-59,8337.0,8620.0,16957.0
France,60+,7750.0,9760.0,17510.0
France (and dependencies),0-19,8336.0,7976.0,16312.0
France (and dependencies),20-39,7963.0,8134.0,16097.0
France (and dependencies),40-59,8684.0,9010.0,17694.0
France (and dependencies),60+,7984.0,10041.0,18025.0
French Guiana,0-19,61.0,59.0,120.0
French Guiana,20-39,38.0,41.0,79.0
French Guiana,40-59,29.0,29.0,58.0
French Guiana,60+,10.0,11.0,21.0
French Polynesia,0-19,42.0,39.0,81.0
French Polynesia,20-39,40.0,40.0,80.0
French Polynesia,40-59,36.0,36.0,72.0
French Polynesia,60+,16.0,16.0,32.0
Gabon,0-19,514.0,505.0,1019.0
Gabon,20-39,364.0,349.0,713.0
Gabon,40-59,194.0,168.0,362.0
Gabon,60+,51.0,60.0,111.0
Gambia,0-19,663.0,652.0,1315.0
Gambia,20-39,347.0,361.0,708.0
Gambia,40-59,135.0,150.0,285.0
Gambia,60+,45.0,44.0,89.0
Georgia,0-19,533.0,489.0,1022.0
Georgia,20-39,537.0,525.0,1062.0
Georgia,40-59,491.0,547.0,1038.0
Georgia,60+,332.0,518.0,850.0
Germany,0-19,8181.0,7627.0,15808.0
Germany,20-39,10499.0,9746.0,20245.0
Germany,40-59,11903.0,11824.0,23727.0
Germany,60+,10822.0,13159.0,23981.0
Ghana,0-19,7492.0,7179.0,14671.0
Ghana,20-39,4897.0,4688.0,9585.0
Ghana,40-59,2586.0,2576.0,5162.0
Ghana,60+,765.0,869.0,1634.0
Greece,0-19,1002.0,945.0,1947.0
Greece,20-39,1232.0,1157.0,2389.0
Greece,40-59,1527.0,1548.0,3075.0
Greece,60+,1345.0,1645.0,2990.0
Grenada,0-19,15.0,15.0,30.0
Grenada,20-39,16.0,16.0,32.0
Grenada,40-59,12.0,11.0,23.0
Grenada,60+,4.0,5.0,9.0
Guadeloupe,0-19,51.0,48.0,99.0
Guadeloupe,20-39,36.0,41.0,77.0
Guadeloupe,40-59,46.0,61.0,107.0
Guadeloupe,60+,42.0,55.0,97.0
Guam,0-19,25.0,24.0,49.0
Guam,20-39,23.0,22.0,45.0
Guam,40-59,19.0,17.0,36.0
Guam,60+,9.0,10.0,19.0
Guatemala,0-19,4041.0,3874.0,7915.0
Guatemala,20-39,2952.0,2990.0,5942.0
Guatemala,40-59,1252.0,1500.0,2752.0
Guatemala,60+,572.0,715.0,1287.0
Guinea,0-19,3608.0,3553.0,7161.0
Guinea,20-39,1878.0,1954.0,3832.0
Guinea,40-59,626.0,883.0,1509.0
Guinea,60+,233.0,380.0,613.0
Guinea-Bissau,0-19,516.0,511.0,1027.0
Guinea-Bissau,20-39,288.0,304.0,592.0
Guinea-Bissau,40-59,114.0,131.0,245.0
Guinea-Bissau,60+,33.0,50.0,83.0
Guyana,0-19,146.0,141.0,287.0
Guyana,20-39,120.0,115.0,235.0
Guyana,40-59,82.0,83.0,165.0
Guyana,60+,36.0,41.0,77.0
Haiti,0-19,2456.0,2387.0,4843.0
Haiti,20-39,1857.0,1914.0,3771.0
Haiti,40-59,904.0,989.0,1893.0
Haiti,60+,397.0,478.0,875.0
Honduras,0-19,2077.0,1990.0,4067.0
Honduras,20-39,1701.0,1670.0,3371.0
Honduras,40-59,834.0,891.0,1725.0
Honduras,60+,328.0,394.0,722.0
Hungary,0-19,962.0,913.0,1875.0
Hungary,20-39,1225.0,1179.0,2404.0
Hungary,40-59,1378.0,1408.0,2786.0
Hungary,60+,1022.0,1553.0,2575.0
Iceland,0-19,42.0,41.0,83.0
Iceland,20-39,47.0,44.0,91.0
Iceland,40-59,40.0,40.0,80.0
Iceland,60+,32.0,34.0,66.0
India,0-19,256077.0,230982.0,487059.0
India,20-39,239771.0,215762.0,455533.0
India,40-59,152739.0,145049.0,297788.0
India,60+,68502.0,71098.0,139600.0
Indonesia,0-19,48320.0,45935.0,94255.0
Indonesia,20-39,42810.0,41926.0,84736.0
Indonesia,40-59,33609.0,33389.0,66998.0
Indonesia,60+,12970.0,14546.0,27516.0
Iran (Islamic Republic of),0-19,13493.0,12817.0,26310.0
Iran (Islamic Republic of),20-39,14514.0,14565.0,29079.0
Iran (Islamic Republic of),40-59,10025.0,9922.0,19947.0
Iran (Islamic Republic of),60+,4365.0,4272.0,8637.0
Iraq,0-19,9924.0,9394.0,19318.0
Iraq,20-39,6413.0,6152.0,12565.0
Iraq,40-59,3092.0,3182.0,6274.0
Iraq,60+,919.0,1126.0,2045.0
Ireland,0-19,684.0,653.0,1337.0
Ireland,20-39,627.0,633.0,1260.0
Ireland,40-59,671.0,688.0,1359.0
Ireland,60+,457.0,502.0,959.0
Israel,0-19,1576.0,1495.0,3071.0
Israel,20-39,1176.0,1139.0,2315.0
Israel,40-59,903.0,929.0,1832.0
Israel,60+,643.0,774.0,1417.0
Italy,0-19,5525.0,5200.0,10725.0
Italy,20-39,6677.0,6420.0,13097.0
Italy,40-59,9187.0,9398.0,18585.0
Italy,60+,8040.0,9996.0,18036.0
Jamaica,0-19,473.0,454.0,927.0
Jamaica,20-39,481.0,476.0,957.0
Jamaica,40-59,324.0,352.0,676.0
Jamaica,60+,184.0,201.0,385.0
Japan,0-19,11008.0,10434.0,21442.0
Japan,20-39,13619.0,12980.0,26599.0
Japan,40-59,17723.0,17287.0,35010.0
Japan,60+,19390.0,24012.0,43402.0
Jordan,0-19,2231.0,2158.0,4389.0
Jordan,20-39,1664.0,1627.0,3291.0
Jordan,40-59,972.0,921.0,1893.0
Jordan,60+,290.0,323.0,613.0
Kazakhstan,0-19,3388.0,3198.0,6586.0
Kazakhstan,20-39,2784.0,2780.0,5564.0
Kazakhstan,40-59,2057.0,2264.0,4321.0
Kazakhstan,60+,874.0,1411.0,2285.0
Kenya,0-19,13482.0,13275.0,26757.0
Kenya,20-39,8482.0,8580.0,17062.0
Kenya,40-59,3772.0,3933.0,7705.0
Kenya,60+,974.0,1257.0,2231.0
Kiribati,0-19,25.0,24.0,49.0
Kiribati,20-39,16.0,16.0,32.0
Kiribati,40-59,8.0,9.0,17.0
Kiribati,60+,1.0,2.0,3.0
Kuwait,0-19,614.0,524.0,1138.0
Kuwait,20-39,813.0,506.0,1319.0
Kuwait,40-59,1001.0,523.0,1524.0
Kuwait,60+,179.0,93.0,272.0
Kyrgyzstan,0-19,1344.0,1284.0,2628.0
Kyrgyzstan,20-39,1055.0,1038.0,2093.0
Kyrgyzstan,40-59,607.0,656.0,1263.0
Kyrgyzstan,60+,209.0,309.0,518.0
Latvia,0-19,202.0,190.0,392.0
Latvia,20-39,230.0,218.0,448.0
Latvia,40-59,245.0,269.0,514.0
Latvia,60+,181.0,330.0,511.0
Lebanon,0-19,1179.0,1105.0,2284.0
Lebanon,20-39,1041.0,1143.0,2184.0
Lebanon,40-59,841.0,743.0,1584.0
Lebanon,60+,365.0,391.0,756.0
Lesotho,0-19,452.0,451.0,903.0
Lesotho,20-39,368.0,350.0,718.0
Lesotho,40-59,170.0,178.0,348.0
Lesotho,60+,57.0,97.0,154.0
Liberia,0-19,1320.0,1270.0,2590.0
Liberia,20-39,737.0,729.0,1466.0
Liberia,40-59,359.0,366.0,725.0
Liberia,60+,116.0,141.0,257.0
Libya,0-19,1265.0,1201.0,2466.0
Libya,20-39,1135.0,1120.0,2255.0
Libya,40-59,844.0,820.0,1664.0
Libya,60+,216.0,252.0,468.0
Lithuania,0-19,278.0,263.0,541.0
Lithuania,20-39,337.0,314.0,651.0
Lithuania,40-59,369.0,404.0,773.0
