Location,AgeGrp,PopMale,PopFemale,PopTotal
Lithuania,60+,269.0,472.0,741.0
Luxembourg,0-19,65.0,62.0,127.0
Luxembourg,20-39,91.0,89.0,180.0
Luxembourg,40-59,95.0,86.0,181.0
Luxembourg,60+,56.0,63.0,119.0
Madagascar,0-19,7107.0,6995.0,14102.0
Madagascar,20-39,4124.0,4141.0,8265.0
Madagascar,40-59,1932.0,1991.0,3923.0
Madagascar,60+,642.0,739.0,1381.0
Malawi,0-19,5232.0,5165.0,10397.0
Malawi,20-39,2781.0,2878.0,5659.0
Malawi,40-59,1089.0,1190.0,2279.0
Malawi,60+,321.0,454.0,775.0
Malaysia,0-19,5281.0,4974.0,10255.0
Malaysia,20-39,5913.0,5504.0,11417.0
Malaysia,40-59,3682.0,3451.0,7133.0
Malaysia,60+,1744.0,1796.0,3540.0
Maldives,0-19,66.0,62.0,128.0
Maldives,20-39,199.0,75.0,274.0
Maldives,40-59,56.0,40.0,96.0
Maldives,60+,13.0,13.0,26.0
Mali,0-19,5979.0,5786.0,11765.0
Mali,20-39,2687.0,2673.0,5360.0
Mali,40-59,1127.0,1204.0,2331.0
Mali,60+,343.0,431.0,774.0
Malta,0-19,42.0,39.0,81.0
Malta,20-39,60.0,56.0,116.0
Malta,40-59,56.0,54.0,110.0
Malta,60+,53.0,62.0,115.0
Martinique,0-19,41.0,39.0,80.0
Martinique,20-39,34.0,37.0,71.0
Martinique,40-59,44.0,58.0,102.0
Martinique,60+,44.0,57.0,101.0
Mauritania,0-19,1174.0,1138.0,2312.0
Mauritania,20-39,711.0,694.0,1405.0
Mauritania,40-59,340.0,347.0,687.0
Mauritania,60+,101.0,128.0,229.0
Mauritius,0-19,156.0,149.0,305.0
Mauritius,20-39,185.0,184.0,369.0
Mauritius,40-59,177.0,177.0,354.0
Mauritius,60+,101.0,125.0,226.0
Mayotte,0-19,67.0,65.0,132.0
Mayotte,20-39,33.0,38.0,71.0
Mayotte,40-59,20.0,20.0,40.0
Mayotte,60+,4.0,6.0,10.0
Melanesia,0-19,2568.0,2409.0,4977.0
Melanesia,20-39,1747.0,1671.0,3418.0
Melanesia,40-59,1007.0,989.0,1996.0
Melanesia,60+,336.0,374.0,710.0
Mexico,0-19,22722.0,21793.0,44515.0
Mexico,20-39,19980.0,20632.0,40612.0
Mexico,40-59,13789.0,15513.0,29302.0
Mexico,60+,6570.0,7914.0,14484.0
Micronesia,0-19,106.0,101.0,207.0
Micronesia,20-39,82.0,78.0,160.0
Micronesia,40-59,56.0,55.0,111.0
Micronesia,60+,25.0,30.0,55.0
Micronesia (Fed. States of),0-19,23.0,20.0,43.0
Micronesia (Fed. States of),20-39,18.0,16.0,34.0
Micronesia (Fed. States of),40-59,9.0,8.0,17.0
Micronesia (Fed. States of),60+,2.0,3.0,5.0
Middle Africa,0-19,50378.0,49727.0,100105.0
Middle Africa,20-39,24800.0,24844.0,49644.0
Middle Africa,40-59,10843.0,11163.0,22006.0
Middle Africa,60+,3590.0,4230.0,7820.0
Mongolia,0-19,625.0,610.0,1235.0
Mongolia,20-39,532.0,529.0,1061.0
Mongolia,40-59,351.0,381.0,732.0
Mongolia,60+,96.0,135.0,231.0
Montenegro,0-19,78.0,70.0,148.0
Montenegro,20-39,87.0,81.0,168.0
Montenegro,40-59,78.0,82.0,160.0
Montenegro,60+,59.0,74.0,133.0
Morocco,0-19,6586.0,6259.0,12845.0
Morocco,20-39,5725.0,5761.0,11486.0
Morocco,40-59,3905.0,4288.0,8193.0
Morocco,60+,2092.0,2277.0,4369.0
Mozambique,0-19,8663.0,8645.0,17308.0
Mozambique,20-39,4347.0,4532.0,8879.0
Mozambique,40-59,1635.0,2050.0,3685.0
Mozambique,60+,532.0,829.0,1361.0
Myanmar,0-19,9519.0,9414.0,18933.0
Myanmar,20-39,8472.0,8759.0,17231.0
Myanmar,40-59,5968.0,6821.0,12789.0
Myanmar,60+,2248.0,3184.0,5432.0
Namibia,0-19,588.0,590.0,1178.0
Namibia,20-39,404.0,421.0,825.0
Namibia,40-59,179.0,205.0,384.0
Namibia,60+,53.0,84.0,137.0
Nepal,0-19,5848.0,5732.0,11580.0
Nepal,20-39,4050.0,5626.0,9676.0
Nepal,40-59,2291.0,3058.0,5349.0
Nepal,60+,1149.0,1365.0,2514.0
Netherlands,0-19,1900.0,1801.0,3701.0
Netherlands,20-39,2130.0,2062.0,4192.0
Netherlands,40-59,2344.0,2327.0,4671.0
Netherlands,60+,2152.0,2397.0,4549.0
Netherlands (and dependencies),0-19,1944.0,1843.0,3787.0
Netherlands (and dependencies),20-39,2171.0,2105.0,4276.0
Netherlands (and dependencies),40-59,2389.0,2379.0,4768.0
Netherlands (and dependencies),60+,2183.0,2440.0,4623.0
New Caledonia,0-19,41.0,39.0,80.0
New Caledonia,20-39,41.0,40.0,81.0
New Caledonia,40-59,36.0,36.0,72.0
New Caledonia,60+,16.0,18.0,34.0
New Zealand,0-19,634.0,602.0,1236.0
New Zealand,20-39,646.0,641.0,1287.0
New Zealand,40-59,581.0,635.0,1216.0
New Zealand,60+,500.0,564.0,1064.0
New Zealand (and dependencies),0-19,637.0,606.0,1243.0
New Zealand (and dependencies),20-39,648.0,643.0,1291.0
New Zealand (and dependencies),40-59,584.0,637.0,1221.0
New Zealand (and dependencies),60+,502.0,565.0,1067.0
Nicaragua,0-19,1312.0,1241.0,2553.0
Nicaragua,20-39,1113.0,1103.0,2216.0
Nicaragua,40-59,584.0,684.0,1268.0
Nicaragua,60+,245.0,321.0,566.0
Niger,0-19,7456.0,7199.0,14655.0
Niger,20-39,2970.0,3001.0,5971.0
Niger,40-59,1244.0,1328.0,2572.0
Niger,60+,489.0,498.0,987.0
Nigeria,0-19,56974.0,54577.0,111551.0
Nigeria,20-39,29188.0,28354.0,57542.0
Nigeria,40-59,13869.0,13864.0,27733.0
Nigeria,60+,4428.0,4866.0,9294.0
North Macedonia,0-19,235.0,221.0,456.0
North Macedonia,20-39,311.0,295.0,606.0
North Macedonia,40-59,292.0,286.0,578.0
North Macedonia,60+,195.0,229.0,424.0
Norway,0-19,643.0,611.0,1254.0
Norway,20-39,753.0,708.0,1461.0
Norway,40-59,739.0,694.0,1433.0
Norway,60+,595.0,656.0,1251.0
Oceania,0-19,6749.0,6379.0,13128.0
Oceania,20-39,6157.0,6001.0,12158.0
Oceania,40-59,4905.0,4995.0,9900.0
Oceania,60+,3541.0,3929.0,7470.0
Oceania (excluding Australia and New Zealand),0-19,2812.0,2636.0,5448.0
Oceania (excluding Australia and New Zealand),20-39,1927.0,1847.0,3774.0
Oceania (excluding Australia and New Zealand),40-59,1143.0,1122.0,2265.0
Oceania (excluding Australia and New Zealand),60+,402.0,447.0,849.0
Oman,0-19,680.0,677.0,1357.0
Oman,20-39,1858.0,663.0,2521.0
Oman,40-59,707.0,291.0,998.0
Oman,60+,114.0,94.0,208.0
Pakistan,0-19,51332.0,47554.0,98886.0
Pakistan,20-39,36302.0,34441.0,70743.0
Pakistan,40-59,18488.0,17879.0,36367.0
Pakistan,60+,7539.0,7336.0,14875.0
Panama,0-19,764.0,733.0,1497.0
Panama,20-39,651.0,641.0,1292.0
Panama,40-59,490.0,495.0,985.0
Panama,60+,244.0,276.0,520.0
Papua New Guinea,0-19,2099.0,1965.0,4064.0
Papua New Guinea,20-39,1420.0,1351.0,2771.0
Papua New Guinea,40-59,790.0,774.0,1564.0
Papua New Guinea,60+,249.0,278.0,527.0
Paraguay,0-19,1388.0,1328.0,2716.0
Paraguay,20-39,1239.0,1187.0,2426.0
Paraguay,40-59,646.0,625.0,1271.0
Paraguay,60+,341.0,359.0,700.0
Peru,0-19,5264.0,5311.0,10575.0
Peru,20-39,5250.0,5353.0,10603.0
Peru,40-59,3884.0,3772.0,7656.0
Peru,60+,1969.0,2147.0,4116.0
Philippines,0-19,22281.0,21099.0,43380.0
Philippines,20-39,17808.0,17274.0,35082.0
Philippines,40-59,10793.0,10881.0,21674.0
Philippines,60+,4136.0,5289.0,9425.0
Poland,0-19,3832.0,3658.0,7490.0
Poland,20-39,5374.0,5059.0,10433.0
Poland,40-59,5031.0,5063.0,10094.0
Poland,60+,4091.0,5718.0,9809.0
Polynesia,0-19,133.0,124.0,257.0
Polynesia,20-39,95.0,94.0,189.0
Polynesia,40-59,74.0,73.0,147.0
Polynesia,60+,34.0,35.0,69.0
Portugal,0-19,950.0,902.0,1852.0
Portugal,20-39,1121.0,1162.0,2283.0
Portugal,40-59,1460.0,1594.0,3054.0
Portugal,60+,1282.0,1703.0,2985.0
Puerto Rico,0-19,329.0,302.0,631.0
Puerto Rico,20-39,315.0,302.0,617.0
Puerto Rico,40-59,373.0,436.0,809.0
Puerto Rico,60+,328.0,454.0,782.0
Qatar,0-19,258.0,236.0,494.0
Qatar,20-39,1259.0,302.0,1561.0
Qatar,40-59,564.0,149.0,713.0
Qatar,60+,76.0,20.0,96.0
Republic of Korea,0-19,4595.0,4308.0,8903.0
Republic of Korea,20-39,7260.0,6532.0,13792.0
Republic of Korea,40-59,8451.0,8241.0,16692.0
Republic of Korea,60+,5346.0,6513.0,11859.0
Republic of Moldova,0-19,432.0,407.0,839.0
Republic of Moldova,20-39,682.0,659.0,1341.0
Republic of Moldova,40-59,513.0,566.0,1079.0
Republic of Moldova,60+,295.0,460.0,755.0
Romania,0-19,2044.0,1933.0,3977.0
Romania,20-39,2426.0,2242.0,4668.0
Romania,40-59,2801.0,2791.0,5592.0
Romania,60+,2073.0,2906.0,4979.0
Russian Federation,0-19,17370.0,16504.0,33874.0
Russian Federation,20-39,20159.0,19913.0,40072.0
Russian Federation,40-59,18389.0,20878.0,39267.0
Russian Federation,60+,11709.0,20988.0,32697.0
Rwanda,0-19,3237.0,3226.0,6463.0
Rwanda,20-39,1962.0,2057.0,4019.0
Rwanda,40-59,871.0,923.0,1794.0
Rwanda,60+,288.0,368.0,656.0
Réunion,0-19,136.0,131.0,267.0
Réunion,20-39,102.0,111.0,213.0
Réunion,40-59,113.0,125.0,238.0
Réunion,60+,71.0,84.0,155.0
Saint Lucia,0-19,21.0,21.0,42.0
Saint Lucia,20-39,28.0,29.0,57.0
Saint Lucia,40-59,23.0,23.0,46.0
Saint Lucia,60+,10.0,11.0,21.0
Saint Vincent and the Grenadines,0-19,15.0,15.0,30.0
Saint Vincent and the Grenadines,20-39,15.0,14.0,29.0
Saint Vincent and the Grenadines,40-59,12.0,12.0,24.0
Saint Vincent and the Grenadines,60+,4.0,4.0,8.0
Samoa,0-19,47.0,42.0,89.0
Samoa,20-39,26.0,22.0,48.0
Samoa,40-59,17.0,15.0,32.0
Samoa,60+,4.0,6.0,10.0
Sao Tome and Principe,0-19,57.0,56.0,113.0
Sao Tome and Principe,20-39,29.0,28.0,57.0
Sao Tome and Principe,40-59,13.0,13.0,26.0
Sao Tome and Principe,60+,3.0,3.0,6.0
Saudi Arabia,0-19,5488.0,5323.0,10811.0
Saudi Arabia,20-39,7120.0,5211.0,12331.0
Saudi Arabia,40-59,6336.0,3284.0,9620.0
Saudi Arabia,60+,1176.0,855.0,2031.0
Senegal,0-19,4501.0,4390.0,8891.0
Senegal,20-39,2367.0,2504.0,4871.0
Senegal,40-59,958.0,1205.0,2163.0
Senegal,60+,336.0,463.0,799.0
Serbia,0-19,956.0,895.0,1851.0
Serbia,20-39,1186.0,1127.0,2313.0
Serbia,40-59,1157.0,1191.0,2348.0
Serbia,60+,969.0,1236.0,2205.0
Seychelles,0-19,14.0,12.0,26.0
Seychelles,20-39,13.0,12.0,25.0
Seychelles,40-59,12.0,12.0,24.0
Seychelles,60+,3.0,3.0,6.0
Sierra Leone,0-19,2048.0,2039.0,4087.0
Sierra Leone,20-39,1223.0,1195.0,2418.0
Sierra Leone,40-59,542.0,547.0,1089.0
Sierra Leone,60+,159.0,204.0,363.0
Singapore,0-19,506.0,476.0,982.0
Singapore,20-39,924.0,803.0,1727.0
Singapore,40-59,1011.0,894.0,1905.0
Singapore,60+,612.0,606.0,1218.0
Slovakia,0-19,567.0,541.0,1108.0
Slovakia,20-39,768.0,731.0,1499.0
Slovakia,40-59,786.0,780.0,1566.0
Slovakia,60+,528.0,738.0,1266.0
Slovenia,0-19,208.0,195.0,403.0
Slovenia,20-39,251.0,234.0,485.0
Slovenia,40-59,311.0,291.0,602.0
Slovenia,60+,255.0,313.0,568.0
Solomon Islands,0-19,176.0,166.0,342.0
Solomon Islands,20-39,96.0,94.0,190.0
Solomon Islands,40-59,52.0,53.0,105.0
Solomon Islands,60+,16.0,16.0,32.0
Somalia,0-19,4602.0,4546.0,9148.0
Somalia,20-39,2102.0,2123.0,4225.0
Somalia,40-59,864.0,921.0,1785.0
Somalia,60+,348.0,368.0,716.0
South Africa,0-19,11107.0,10883.0,21990.0
South Africa,20-39,10217.0,10076.0,20293.0
South Africa,40-59,5795.0,6156.0,11951.0
South Africa,60+,2087.0,2968.0,5055.0
South Sudan,0-19,2946.0,2877.0,5823.0
South Sudan,20-39,1650.0,1644.0,3294.0
South Sudan,40-59,734.0,755.0,1489.0
South Sudan,60+,264.0,305.0,569.0
Spain,0-19,4621.0,4345.0,8966.0
Spain,20-39,5310.0,5205.0,10515.0
Spain,40-59,7550.0,7431.0,14981.0
Spain,60+,5485.0,6785.0,12270.0
Sri Lanka,0-19,3394.0,3339.0,6733.0
Sri Lanka,20-39,2720.0,2997.0,5717.0
Sri Lanka,40-59,2617.0,2814.0,5431.0
Sri Lanka,60+,1526.0,1985.0,3511.0
State of Palestine,0-19,1261.0,1209.0,2470.0
State of Palestine,20-39,827.0,799.0,1626.0
State of Palestine,40-59,373.0,368.0,741.0
State of Palestine,60+,117.0,129.0,246.0
Sudan,0-19,11273.0,10975.0,22248.0
Sudan,20-39,6413.0,6412.0,12825.0
Sudan,40-59,3046.0,3230.0,6276.0
Sudan,60+,1164.0,1313.0,2477.0
Suriname,0-19,106.0,98.0,204.0
Suriname,20-39,89.0,86.0,175.0
Suriname,40-59,66.0,67.0,133.0
Suriname,60+,23.0,32.0,55.0
Sweden,0-19,1190.0,1128.0,2318.0
Sweden,20-39,1326.0,1266.0,2592.0
Sweden,40-59,1297.0,1259.0,2556.0
Sweden,60+,1236.0,1375.0,2611.0
Switzerland,0-19,878.0,837.0,1715.0
Switzerland,20-39,1140.0,1115.0,2255.0
Switzerland,40-59,1251.0,1232.0,2483.0
Switzerland,60+,1014.0,1165.0,2179.0
Syrian Arab Republic,0-19,3548.0,3409.0,6957.0
Syrian Arab Republic,20-39,3041.0,2964.0,6005.0
Syrian Arab Republic,40-59,1557.0,1653.0,3210.0
Syrian Arab Republic,60+,606.0,704.0,1310.0
Tajikistan,0-19,2240.0,2122.0,4362.0
Tajikistan,20-39,1530.0,1505.0,3035.0
Tajikistan,40-59,772.0,807.0,1579.0
Tajikistan,60+,255.0,287.0,542.0
Thailand,0-19,8187.0,7741.0,15928.0
Thailand,20-39,9468.0,9387.0,18855.0
Thailand,40-59,10323.0,11269.0,21592.0
Thailand,60+,5977.0,7427.0,13404.0
Timor-Leste,0-19,323.0,312.0,635.0
Timor-Leste,20-39,203.0,197.0,400.0
Timor-Leste,40-59,94.0,91.0,185.0
Timor-Leste,60+,38.0,44.0,82.0
Togo,0-19,2132.0,2119.0,4251.0
Togo,20-39,1219.0,1217.0,2436.0
Togo,40-59,582.0,610.0,1192.0
Togo,60+,176.0,205.0,381.0
Tonga,0-19,23.0,21.0,44.0
Tonga,20-39,12.0,13.0,25.0
Tonga,40-59,7.0,7.0,14.0
Tonga,60+,2.0,2.0,4.0
Trinidad and Tobago,0-19,185.0,181.0,366.0
Trinidad and Tobago,20-39,211.0,211.0,422.0
Trinidad and Tobago,40-59,178.0,184.0,362.0
Trinidad and Tobago,60+,104.0,123.0,227.0
Tunisia,0-19,1886.0,1769.0,3655.0
Tunisia,20-39,1816.0,1820.0,3636.0
Tunisia,40-59,1418.0,1511.0,2929.0
Tunisia,60+,732.0,850.0,1582.0
Turkey,0-19,13808.0,13202.0,27010.0
Turkey,20-39,13099.0,12846.0,25945.0
Turkey,40-59,9942.0,10408.0,20350.0
Turkey,60+,4774.0,6236.0,11010.0
Turkmenistan,0-19,1184.0,1153.0,2337.0
Turkmenistan,20-39,984.0,982.0,1966.0
Turkmenistan,40-59,591.0,640.0,1231.0
Turkmenistan,60+,204.0,279.0,483.0
Uganda,0-19,13254.0,13047.0,26301.0
Uganda,20-39,6278.0,6692.0,12970.0
Uganda,40-59,2393.0,2590.0,4983.0
Uganda,60+,614.0,855.0,1469.0
Ukraine,0-19,4619.0,4351.0,8970.0
Ukraine,20-39,6160.0,5942.0,12102.0
Ukraine,40-59,5778.0,6531.0,12309.0
Ukraine,60+,3694.0,6635.0,10329.0
United Arab Emirates,0-19,946.0,905.0,1851.0
United Arab Emirates,20-39,3856.0,1458.0,5314.0
United Arab Emirates,40-59,1801.0,601.0,2402.0
United Arab Emirates,60+,223.0,81.0,304.0
United Kingdom,0-19,8019.0,7664.0,15683.0
United Kingdom,20-39,8987.0,8862.0,17849.0
United Kingdom,40-59,8789.0,8985.0,17774.0
United Kingdom,60+,7737.0,8820.0,16557.0
United Kingdom (and dependencies),0-19,8077.0,7719.0,15796.0
United Kingdom (and dependencies),20-39,9053.0,8929.0,17982.0
United Kingdom (and dependencies),40-59,8864.0,9062.0,17926.0
United Kingdom (and dependencies),60+,7793.0,8885.0,16678.0
United Republic of Tanzania,0-19,16396.0,16052.0,32448.0
United Republic of Tanzania,20-39,8504.0,8501.0,17005.0
United Republic of Tanzania,40-59,3831.0,3912.0,7743.0
United Republic of Tanzania,60+,1110.0,1409.0,2519.0
United States Virgin Islands,0-19,12.0,11.0,23.0
United States Virgin Islands,20-39,10.0,10.0,20.0
United States Virgin Islands,40-59,10.0,12.0,22.0
United States Virgin Islands,60+,9.0,12.0,21.0
United States of America,0-19,41912.0,40138.0,82050.0
United States of America,20-39,46026.0,44731.0,90757.0
United States of America,40-59,41108.0,41358.0,82466.0
United States of America,60+,34730.0,40979.0,75709.0
United States of America (and dependencies),0-19,42304.0,40501.0,82805.0
United States of America (and dependencies),20-39,46393.0,45085.0,91478.0
United States of America (and dependencies),40-59,41531.0,41844.0,83375.0
United States of America (and dependencies),60+,35095.0,41473.0,76568.0
Uruguay,0-19,484.0,463.0,947.0
Uruguay,20-39,489.0,478.0,967.0
Uruguay,40-59,410.0,431.0,841.0
Uruguay,60+,285.0,411.0,696.0
Uzbekistan,0-19,6245.0,5925.0,12170.0
Uzbekistan,20-39,5822.0,5698.0,11520.0
Uzbekistan,40-59,3379.0,3616.0,6995.0
Uzbekistan,60+,1239.0,1524.0,2763.0
Vanuatu,0-19,75.0,69.0,144.0
Vanuatu,20-39,42.0,46.0,88.0
Vanuatu,40-59,23.0,23.0,46.0
Vanuatu,60+,6.0,6.0,12.0
Venezuela (Bolivarian Republic of),0-19,5230.0,5019.0,10249.0
Venezuela (Bolivarian Republic of),20-39,4017.0,4137.0,8154.0
Venezuela (Bolivarian Republic of),40-59,3174.0,3402.0,6576.0
Venezuela (Bolivarian Republic of),60+,1552.0,1883.0,3435.0
Viet Nam,0-19,15266.0,13808.0,29074.0
Viet Nam,20-39,16056.0,15531.0,31587.0
Viet Nam,40-59,12228.0,12451.0,24679.0
Viet Nam,60+,5037.0,6943.0,11980.0
World,0-19,1340498.0,1255342.0,2595840.0
World,20-39,1200028.0,1142396.0,2342424.0
World,40-59,905445.0,901327.0,1806772.0
World,60+,483990.0,565748.0,1049738.0
Yemen,0-19,7532.0,7248.0,14780.0
Yemen,20-39,4982.0,4888.0,9870.0
Yemen,40-59,1865.0,1917.0,3782.0
Yemen,60+,636.0,739.0,1375.0
Zambia,0-19,5143.0,5066.0,10209.0
Zambia,20-39,2634.0,2727.0,5361.0
Zambia,40-59,1058.0,1112.0,2170.0
Zambia,60+,258.0,365.0,623.0
Zimbabwe,0-19,3941.0,3923.0,7864.0
Zimbabwe,20-39,1993.0,2354.0,4347.0
Zimbabwe,40-59,892.0,1060.0,1952.0
Zimbabwe,60+,257.0,424.0,681.0
